고객ID,회원가입일,물품구매이력,탈퇴일,탈퇴사유
CUST001,2020-03-12,"2020-03-15 운동화, 2020-06-10 티셔츠, 2020-11-05 후드티",2022-04-01,가격 경쟁력 부족
CUST002,2021-07-19,"2021-07-22 블루투스 이어폰, 2021-09-10 보조배터리",, 
CUST003,2022-01-05,"2022-01-08 쌀 10kg, 2022-03-02 라면 20개입",2023-01-10,배송 지연
CUST004,2020-11-25,"2020-12-01 드레스, 2021-05-12 구두",2021-11-30,품질 불만
CUST005,2021-02-10,"2021-02-14 노트북, 2021-10-05 모니터",, 
CUST006,2022-04-20,"2022-04-22 건강보조제, 2022-08-15 비타민C",2023-02-11,경쟁사로 이동
CUST007,2020-05-18,"2020-05-25 스마트워치, 2021-01-15 무선충전기",2021-09-12,앱 사용 불편
CUST008,2021-06-02,"2021-06-05 샴푸, 2021-12-11 립스틱, 2022-01-05 스킨케어 세트",2022-07-19,멤버십 혜택 부족
CUST009,2022-07-10,"2022-07-12 유아용 기저귀, 2022-09-01 아기옷",, 
CUST010,2020-09-08,"2020-09-10 커피머신, 2021-01-15 원두커피",2021-12-01,환불/교환 불만
CUST011,2021-11-11,"2021-11-15 김치냉장고, 2022-02-10 전기밥솥",, 
CUST012,2022-02-05,"2022-02-07 스마트폰 케이스, 2022-03-20 충전 케이블",2022-11-02,가격 경쟁력 부족
CUST013,2020-07-01,"2020-07-05 책상, 2020-09-11 의자, 2021-03-02 조명 스탠드",2021-08-21,고객 서비스 불만
CUST014,2021-04-08,"2021-04-12 자전거, 2021-07-30 헬멧",, 
CUST015,2022-05-25,"2022-06-01 영화 스트리밍 구독, 2022-09-01 음원 구독",2023-01-30,멤버십 혜택 부족
CUST016,2020-01-19,"2020-01-25 전기히터, 2020-12-20 온수매트",2021-03-15,품질 불만
CUST017,2021-08-09,"2021-08-12 블라우스, 2022-02-05 원피스",, 
CUST018,2022-10-14,"2022-10-18 고양이 사료, 2023-01-12 고양이 모래",2023-08-22,배송 지연
CUST019,2020-06-06,"2020-06-10 전자책 리더기, 2021-03-01 전자책 구독권",2021-06-15,단순 이용 감소
CUST020,2021-09-01,"2021-09-04 요가매트, 2021-12-22 덤벨세트",, 
CUST021,2020-04-22,"2020-04-25 DSLR 카메라, 2020-09-10 카메라 가방",2021-02-18,환불/교환 불만
CUST022,2021-01-10,"2021-01-14 프라이팬 세트, 2021-07-05 주방용 칼",, 
CUST023,2022-03-19,"2022-03-22 전동칫솔, 2022-05-20 치약 대용량",2022-12-20,앱 사용 불편
CUST024,2020-08-15,"2020-08-18 전기자전거, 2021-04-12 킥보드",2021-11-10,가격 경쟁력 부족
CUST025,2021-12-28,"2022-01-03 유아용 카시트, 2022-03-15 아기 장난감",, 
CUST026,2022-06-22,"2022-06-25 무선 청소기, 2022-08-19 스팀 다리미",2023-05-15,품질 불만
CUST027,2020-02-10,"2020-02-14 게임 콘솔, 2020-08-20 게임 타이틀",2021-02-01,경쟁사로 이동
CUST028,2021-05-17,"2021-05-20 화장품 세트, 2021-08-18 향수",, 
CUST029,2022-08-12,"2022-08-15 강아지 사료, 2022-11-10 강아지 장난감",2023-04-09,고객 서비스 불만
CUST030,2020-10-01,"2020-10-05 전기레인지, 2021-02-20 오븐기",2021-09-10,배송 지연
CUST031,2021-03-22,"2021-03-27 운동화, 2021-06-10 러닝복",, 
CUST032,2022-01-28,"2022-02-02 게임 마우스, 2022-04-05 게이밍 키보드",2022-11-21,경쟁사로 이동
CUST033,2020-12-10,"2020-12-15 패딩, 2021-02-01 모자",2021-08-12,가격 경쟁력 부족
CUST034,2021-07-05,"2021-07-09 원피스, 2021-10-01 구두",, 
CUST035,2022-04-04,"2022-04-07 다이어리, 2022-06-15 필기구 세트",2023-03-15,단순 이용 감소
CUST036,2020-09-11,"2020-09-14 라면, 2020-12-20 생수 2L 20개입",2021-12-02,품질 불만
CUST037,2021-11-17,"2021-11-22 TV, 2022-02-25 사운드바",, 
CUST038,2022-02-21,"2022-02-25 식기세척기, 2022-05-30 전자레인지",2022-11-29,고객 서비스 불만
CUST039,2020-05-29,"2020-06-02 침대 프레임, 2020-10-01 매트리스",2021-05-10,배송 지연
CUST040,2021-08-26,"2021-08-30 미용실 쿠폰, 2021-12-20 네일샵 쿠폰",, 
CUST041,2022-05-14,"2022-05-18 냉장고, 2022-08-01 세탁기",2023-02-15,환불/교환 불만
CUST042,2020-03-20,"2020-03-23 자전거, 2020-07-25 러닝화",2021-02-14,멤버십 혜택 부족
CUST043,2021-06-14,"2021-06-18 TV, 2021-09-11 모니터",, 
CUST044,2022-07-07,"2022-07-11 반려동물 보험, 2022-09-01 사료 정기구독",2023-06-20,개인정보 보안 우려
CUST045,2020-04-01,"2020-04-05 커피머신, 2020-09-12 에스프레소잔",2021-01-15,품질 불만
CUST046,2021-09-21,"2021-09-25 블라우스, 2022-02-10 바지",, 
CUST047,2022-03-09,"2022-03-12 와인 세트, 2022-06-01 치즈 플래터",2022-12-28,경쟁사로 이동
CUST048,2020-07-27,"2020-08-01 골프채, 2021-03-01 골프공 세트",2021-10-19,가격 경쟁력 부족
CUST049,2021-12-05,"2021-12-08 전기 자전거, 2022-04-10 킥보드",, 
CUST050,2022-09-03,"2022-09-07 생수 정기구독, 2022-11-01 과일박스",2023-07-15,배송 지연

